review
"('좋다', 29)"
"('영화', 20)"
"('재밌다', 20)"
"('감동', 11)"
"('재미있다', 11)"
"('생각', 9)"
"('스토리', 9)"
"('픽사', 8)"
"('한국', 7)"
"('힐링', 7)"
"('하나', 6)"
"('역시', 5)"
"('감독', 5)"
"('디즈니', 5)"
"('없다', 5)"
"('아니다', 5)"
"('장면', 5)"
"('느낌', 5)"
"('원소', 4)"
"('캐릭터', 4)"
"('사랑', 4)"
"('상미', 4)"
"('아름답다', 4)"
"('있다', 4)"
"('도', 4)"
"('영상', 4)"
"('정서', 3)"
"('이야기', 3)"
"('어른', 3)"
"('무엇', 3)"
"('귀엽다', 3)"
"('소재', 3)"
"('색감', 3)"
"('감탄', 3)"
"('행복하다', 3)"
"('재미', 3)"
"('대해', 3)"
"('물', 3)"
"('불', 3)"
"('작품', 3)"
"('웨', 2)"
"('이드', 2)"
"('즐겁다', 2)"
"('상상력', 2)"
"('아쉽다', 2)"
"('필요하다', 2)"
"('눈물', 2)"
"('요즘', 2)"
"('신선하다', 2)"
"('독특하다', 2)"
"('진짜', 2)"
"('관', 2)"
"('예쁘다', 2)"
"('아이디어', 2)"
"('다운', 2)"
"('마음', 2)"
"('따뜻하다', 2)"
"('나', 2)"
"('가족', 2)"
"('특징', 2)"
"('서로', 2)"
"('이', 2)"
"('어떻다', 2)"
"('다양하다', 2)"
"('기억', 2)"
"('엘리', 2)"
"('멘탈', 2)"
"('지루하다', 2)"
"('대사', 2)"
"('자체', 2)"
"('것', 2)"
"('그', 2)"
"('아이', 2)"
"('미가', 2)"
"('다른', 2)"
"('내', 2)"
"('많다', 2)"
"('노래', 2)"
"('괜찮다', 2)"
"('이유', 2)"
"('다시', 2)"
"('사회', 2)"
"('중간', 2)"
"('처음', 2)"
"('토피아', 2)"
"('세상', 2)"
"('돈', 2)"
"('만', 2)"
"('그녀', 2)"
"('참신하다', 2)"
"('앰버', 1)"
"('이예', 1)"
"('역대', 1)"
"('작다', 1)"
"('초심', 1)"
"('박', 1)"
"('발상', 1)"
"('서사', 1)"
"('애니메이션', 1)"
"('공감', 1)"
